from,to,relationship
VDL,500,1
KLI,500,1
NRO,500,1
WAG,500,1
STE,500,1
LIN,501,1
KAS,501,1
MEL,501,1
DUN,501,1
ELE,501,1
BAE,502,1
TIM,502,1
AME,502,1
GRL,502,1
ERA,502,1
HAB,503,1
CMA,503,1
KAP,503,1
KIE,503,1
BAB,504,1
HEU,504,1
WEI,504,1
LAM,504,1
OLS,505,1
SOE,506,1
GRI,506,1
BEC,506,1
MIC,506,1
ESK,507,1
ASZ,507,1
WAD,507,1
FEL,507,1
KUE,508,1
BHA,508,1
RUP,508,1
WEL,508,1
ROT,510,1
VAK,510,1
MAS,510,1
KUL,511,1
